Method,n_star_ratio,MAE
Neural-ECF,0.1,
MIDAST[KS],0.1,170.0
MIDAST[MMD],0.1,
e-Divisive,0.1,0.0
KCPA,0.1,3.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,680.0
e-Divisive,0.1,7.0
KCPA,0.1,7.0
Neural-ECF,0.1,106.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,580.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,380.0
e-Divisive,0.1,139.0
KCPA,0.1,1.0
Neural-ECF,0.1,
MIDAST[KS],0.1,520.0
MIDAST[MMD],0.1,
e-Divisive,0.1,9.0
KCPA,0.1,0.0
Neural-ECF,0.1,134.0
MIDAST[KS],0.1,120.0
MIDAST[MMD],0.1,690.0
e-Divisive,0.1,9.0
KCPA,0.1,9.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,18.0
KCPA,0.1,15.0
Neural-ECF,0.1,134.0
MIDAST[KS],0.1,150.0
MIDAST[MMD],0.1,150.0
e-Divisive,0.1,18.0
KCPA,0.1,5.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,230.0
e-Divisive,0.1,9.0
KCPA,0.1,3.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,120.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,108.0
MIDAST[KS],0.1,660.0
MIDAST[MMD],0.1,660.0
e-Divisive,0.1,3.0
KCPA,0.1,3.0
Neural-ECF,0.1,
MIDAST[KS],0.1,510.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,785.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,180.0
e-Divisive,0.1,32.0
KCPA,0.1,0.0
Neural-ECF,0.1,127.0
MIDAST[KS],0.1,690.0
MIDAST[MMD],0.1,690.0
e-Divisive,0.1,743.0
KCPA,0.1,17.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,16.0
KCPA,0.1,3.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,397.0
KCPA,0.1,397.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,5.0
KCPA,0.1,5.0
Neural-ECF,0.1,110.0
MIDAST[KS],0.1,130.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,50.0
KCPA,0.1,10.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,2.0
KCPA,0.1,4.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,4.0
KCPA,0.1,4.0
Neural-ECF,0.1,102.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,3.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,170.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,132.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,180.0
e-Divisive,0.1,10.0
KCPA,0.1,2.0
Neural-ECF,0.1,
MIDAST[KS],0.1,550.0
MIDAST[MMD],0.1,310.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,660.0
MIDAST[MMD],0.1,660.0
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,145.0
MIDAST[KS],0.1,150.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,3.0
KCPA,0.1,3.0
Neural-ECF,0.1,117.0
MIDAST[KS],0.1,130.0
MIDAST[MMD],0.1,130.0
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,630.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,2.0
KCPA,0.1,1.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,610.0
MIDAST[MMD],0.1,120.0
e-Divisive,0.1,22.0
KCPA,0.1,12.0
Neural-ECF,0.1,
MIDAST[KS],0.1,300.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,8.0
KCPA,0.1,8.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,680.0
e-Divisive,0.1,5.0
KCPA,0.1,5.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,10.0
KCPA,0.1,10.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,260.0
e-Divisive,0.1,7.0
KCPA,0.1,4.0
Neural-ECF,0.1,105.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,
e-Divisive,0.1,4.0
KCPA,0.1,4.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,140.0
e-Divisive,0.1,3.0
KCPA,0.1,31.0
Neural-ECF,0.1,
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,17.0
KCPA,0.1,17.0
Neural-ECF,0.1,128.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,
e-Divisive,0.1,0.0
KCPA,0.1,0.0
Neural-ECF,0.1,108.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,40.0
KCPA,0.1,28.0
Neural-ECF,0.1,130.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,130.0
e-Divisive,0.1,13.0
KCPA,0.1,13.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,240.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,107.0
KCPA,0.1,2.0
Neural-ECF,0.1,139.0
MIDAST[KS],0.1,280.0
MIDAST[MMD],0.1,520.0
e-Divisive,0.1,1.0
KCPA,0.1,1.0
Neural-ECF,0.1,239.0
MIDAST[KS],0.1,230.0
MIDAST[MMD],0.1,
e-Divisive,0.1,3.0
KCPA,0.1,12.0
Neural-ECF,0.1,104.0
MIDAST[KS],0.1,
MIDAST[MMD],0.1,
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,109.0
MIDAST[KS],0.1,110.0
MIDAST[MMD],0.1,
e-Divisive,0.1,3.0
KCPA,0.1,3.0
Neural-ECF,0.1,101.0
MIDAST[KS],0.1,100.0
MIDAST[MMD],0.1,100.0
e-Divisive,0.1,0.0
KCPA,0.1,1.0
Neural-ECF,0.1,103.0
MIDAST[KS],0.1,590.0
MIDAST[MMD],0.1,570.0
e-Divisive,0.1,2.0
KCPA,0.1,2.0
Neural-ECF,0.1,118.0
MIDAST[KS],0.1,120.0
MIDAST[MMD],0.1,110.0
e-Divisive,0.1,207.0
KCPA,0.1,154.0
Neural-ECF,0.1,114.0
