Method,n_star_ratio,MAE
KCPA,0.3,1.0
Neural-ECF,0.3,9.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,8.0
KCPA,0.3,3.0
Neural-ECF,0.3,3.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,1.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,8.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,2.0
Neural-ECF,0.3,5.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,8.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,0.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,8.0
Neural-ECF,0.3,3.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,1.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,5.0
Neural-ECF,0.3,2.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,6.0
Neural-ECF,0.3,2.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,2.0
Neural-ECF,0.3,4.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,0.0
Neural-ECF,0.3,7.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,0.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,7.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,50.0
e-Divisive,0.3,4.0
KCPA,0.3,0.0
Neural-ECF,0.3,0.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,2.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,1.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,130.0
e-Divisive,0.5,0.0
KCPA,0.5,3.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,280.0
e-Divisive,0.5,3.0
KCPA,0.5,3.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,150.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,9.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,30.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,1.0
KCPA,0.5,3.0
Neural-ECF,0.5,3.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,20.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,5.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,20.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,5.0
Neural-ECF,0.5,3.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,4.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,260.0
e-Divisive,0.5,1.0
KCPA,0.5,2.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,110.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,260.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,150.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,20.0
KCPA,0.5,0.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,3.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,190.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,160.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,170.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,30.0
MIDAST[MMD],0.5,160.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,150.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,5.0
Neural-ECF,0.5,11.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,110.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,170.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,250.0
e-Divisive,0.5,4.0
KCPA,0.5,4.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,3.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,150.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,3.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,1.0
KCPA,0.5,0.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,230.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,2.0
KCPA,0.5,2.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,2.0
KCPA,0.5,11.0
Neural-ECF,0.5,9.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,9.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,11.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,1.0
KCPA,0.5,0.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,150.0
e-Divisive,0.5,4.0
KCPA,0.5,1.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,12.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,20.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,50.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,3.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,5.0
KCPA,0.5,5.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,8.0
KCPA,0.5,8.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,5.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,3.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,7.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,1.0
KCPA,0.5,2.0
Neural-ECF,0.5,9.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,190.0
e-Divisive,0.5,0.0
KCPA,0.5,1.0
Neural-ECF,0.5,9.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,4.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,10.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,9.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,170.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,6.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,120.0
e-Divisive,0.5,0.0
KCPA,0.5,3.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,3.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,130.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,300.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,110.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,9.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,0.0
KCPA,0.5,2.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,130.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,1.0
MIDAST[KS],0.5,20.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,0.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,2.0
KCPA,0.5,3.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,1.0
KCPA,0.5,0.0
Neural-ECF,0.5,4.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,20.0
e-Divisive,0.5,0.0
KCPA,0.5,6.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,200.0
e-Divisive,0.5,1.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,280.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.5,8.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,10.0
e-Divisive,0.5,2.0
KCPA,0.5,1.0
Neural-ECF,0.5,10.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,3.0
Neural-ECF,0.5,5.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,140.0
e-Divisive,0.5,1.0
KCPA,0.5,3.0
Neural-ECF,0.5,2.0
MIDAST[KS],0.5,0.0
MIDAST[MMD],0.5,0.0
e-Divisive,0.5,0.0
KCPA,0.5,0.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,150.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,6.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,140.0
e-Divisive,0.7,0.0
KCPA,0.7,2.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,140.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,150.0
e-Divisive,0.7,2.0
KCPA,0.7,2.0
Neural-ECF,0.7,8.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,5.0
KCPA,0.7,5.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,40.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,130.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,5.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,2.0
Neural-ECF,0.7,6.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,130.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,160.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,100.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,3.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,50.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,5.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,6.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,150.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,9.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,260.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,2.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,120.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,40.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,2.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,70.0
e-Divisive,0.7,0.0
KCPA,0.7,7.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,4.0
KCPA,0.7,4.0
Neural-ECF,0.7,9.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,50.0
e-Divisive,0.7,2.0
KCPA,0.7,1.0
Neural-ECF,0.7,0.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,390.0
e-Divisive,0.7,5.0
KCPA,0.7,5.0
Neural-ECF,0.7,9.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,100.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,8.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,2.0
KCPA,0.7,2.0
Neural-ECF,0.7,6.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,110.0
e-Divisive,0.7,0.0
KCPA,0.7,2.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,140.0
e-Divisive,0.7,1.0
KCPA,0.7,6.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,320.0
e-Divisive,0.7,4.0
KCPA,0.7,4.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,0.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,320.0
e-Divisive,0.7,0.0
KCPA,0.7,2.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,90.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,1.0
KCPA,0.7,4.0
Neural-ECF,0.7,2.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,8.0
Neural-ECF,0.7,3.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,140.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,0.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,10.0
e-Divisive,0.7,1.0
KCPA,0.7,2.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,100.0
e-Divisive,0.7,1.0
KCPA,0.7,1.0
Neural-ECF,0.7,0.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,130.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,6.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,2.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,2.0
KCPA,0.7,4.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,130.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,0.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,120.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,3.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,160.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,2.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,160.0
e-Divisive,0.7,0.0
KCPA,0.7,1.0
Neural-ECF,0.7,9.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,0.0
KCPA,0.7,3.0
Neural-ECF,0.7,1.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,390.0
e-Divisive,0.7,1.0
KCPA,0.7,0.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,7.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,40.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,4.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,1.0
KCPA,0.7,0.0
Neural-ECF,0.7,7.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,160.0
e-Divisive,0.7,2.0
KCPA,0.7,6.0
Neural-ECF,0.7,2.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,120.0
e-Divisive,0.7,0.0
KCPA,0.7,3.0
Neural-ECF,0.7,9.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,20.0
e-Divisive,0.7,0.0
KCPA,0.7,4.0
Neural-ECF,0.7,7.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,120.0
e-Divisive,0.7,0.0
KCPA,0.7,1.0
Neural-ECF,0.7,5.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,120.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,5.0
MIDAST[KS],0.7,0.0
MIDAST[MMD],0.7,30.0
e-Divisive,0.7,0.0
KCPA,0.7,0.0
Neural-ECF,0.7,10.0
MIDAST[KS],0.7,10.0
MIDAST[MMD],0.7,170.0
e-Divisive,0.7,0.0
