Method,rho2,alpha2,MAE,time_s
Neural-ECF[peaks],0.9,1.5,5.0,1.6250159740447998
MIDAST[KS],0.9,1.5,,5.3560028076171875
Neural-ECF[argmax],0.9,1.5,20.0,1.6642770767211914
Neural-ECF[peaks],0.9,1.5,20.0,1.6642770767211914
MIDAST[KS],0.9,1.5,,5.2236340045928955
Neural-ECF[argmax],0.9,1.5,0.0,1.6053669452667236
Neural-ECF[peaks],0.9,1.5,0.0,1.6053669452667236
MIDAST[KS],0.9,1.5,,5.209741115570068
Neural-ECF[argmax],0.9,1.5,35.0,1.6669352054595947
Neural-ECF[peaks],0.9,1.5,35.0,1.6669352054595947
MIDAST[KS],0.9,1.5,,5.238446235656738
Neural-ECF[argmax],0.9,1.5,0.0,1.609544038772583
Neural-ECF[peaks],0.9,1.5,0.0,1.609544038772583
MIDAST[KS],0.9,1.5,,5.191730260848999
Neural-ECF[argmax],0.9,1.5,0.0,1.6572160720825195
Neural-ECF[peaks],0.9,1.5,0.0,1.6572160720825195
MIDAST[KS],0.9,1.5,,5.2553300857543945
Neural-ECF[argmax],0.9,1.5,25.0,1.7074391841888428
Neural-ECF[peaks],0.9,1.5,25.0,1.7074391841888428
MIDAST[KS],0.9,1.5,,5.186647891998291
Neural-ECF[argmax],0.9,1.5,15.0,1.615107774734497
Neural-ECF[peaks],0.9,1.5,15.0,1.615107774734497
MIDAST[KS],0.9,1.5,,5.356549263000488
Neural-ECF[argmax],0.9,1.5,0.0,1.6323659420013428
Neural-ECF[peaks],0.9,1.5,0.0,1.6323659420013428
MIDAST[KS],0.9,1.5,,5.267364025115967
Neural-ECF[argmax],0.9,1.5,5.0,1.7463188171386719
Neural-ECF[peaks],0.9,1.5,5.0,1.7463188171386719
MIDAST[KS],0.9,1.5,,5.363054990768433
Neural-ECF[argmax],0.9,1.5,40.0,1.6344480514526367
Neural-ECF[peaks],0.9,1.5,40.0,1.6344480514526367
MIDAST[KS],0.9,1.5,,5.35283088684082
Neural-ECF[argmax],0.9,1.5,20.0,1.654505968093872
Neural-ECF[peaks],0.9,1.5,20.0,1.654505968093872
MIDAST[KS],0.9,1.5,10.0,5.175216197967529
Neural-ECF[argmax],0.9,1.5,10.0,1.6592800617218018
Neural-ECF[peaks],0.9,1.5,10.0,1.6592800617218018
MIDAST[KS],0.9,1.5,,5.38935399055481
Neural-ECF[argmax],0.9,1.5,5.0,1.6274769306182861
Neural-ECF[peaks],0.9,1.5,5.0,1.6274769306182861
MIDAST[KS],0.9,1.5,,5.252562046051025
Neural-ECF[argmax],0.9,1.5,5.0,1.7027957439422607
Neural-ECF[peaks],0.9,1.5,5.0,1.7027957439422607
MIDAST[KS],0.9,1.5,,5.283431053161621
Neural-ECF[argmax],0.9,1.5,0.0,1.669123888015747
Neural-ECF[peaks],0.9,1.5,0.0,1.669123888015747
MIDAST[KS],0.9,1.5,,5.314065933227539
Neural-ECF[argmax],0.9,1.5,0.0,1.6429479122161865
Neural-ECF[peaks],0.9,1.5,0.0,1.6429479122161865
MIDAST[KS],0.9,1.5,,5.288751125335693
Neural-ECF[argmax],0.9,1.5,0.0,1.618582010269165
Neural-ECF[peaks],0.9,1.5,0.0,1.618582010269165
MIDAST[KS],0.9,1.5,,5.157088041305542
Neural-ECF[argmax],0.9,1.5,5.0,1.607759952545166
Neural-ECF[peaks],0.9,1.5,5.0,1.607759952545166
MIDAST[KS],0.9,1.5,,5.302026987075806
Neural-ECF[argmax],0.9,1.5,0.0,1.627465009689331
Neural-ECF[peaks],0.9,1.5,0.0,1.627465009689331
MIDAST[KS],0.9,1.5,,5.33314323425293
Neural-ECF[argmax],0.9,1.5,5.0,1.588327169418335
Neural-ECF[peaks],0.9,1.5,5.0,1.588327169418335
MIDAST[KS],0.9,1.5,,5.13306188583374
Neural-ECF[argmax],0.9,1.5,0.0,1.6327869892120361
Neural-ECF[peaks],0.9,1.5,0.0,1.6327869892120361
MIDAST[KS],0.9,1.5,,5.2536492347717285
Neural-ECF[argmax],0.9,1.5,5.0,1.6751551628112793
Neural-ECF[peaks],0.9,1.5,5.0,1.6751551628112793
MIDAST[KS],0.9,1.5,,5.236389875411987
Neural-ECF[argmax],0.9,1.5,5.0,1.6389949321746826
Neural-ECF[peaks],0.9,1.5,5.0,1.6389949321746826
MIDAST[KS],0.9,1.5,,5.368056058883667
Neural-ECF[argmax],0.9,1.5,0.0,1.6435730457305908
Neural-ECF[peaks],0.9,1.5,0.0,1.6435730457305908
MIDAST[KS],0.9,1.5,,5.239175081253052
Neural-ECF[argmax],0.9,1.5,5.0,1.590566873550415
Neural-ECF[peaks],0.9,1.5,5.0,1.590566873550415
MIDAST[KS],0.9,1.5,,5.225744962692261
Neural-ECF[argmax],0.9,1.5,25.0,1.6254620552062988
Neural-ECF[peaks],0.9,1.5,25.0,1.6254620552062988
MIDAST[KS],0.9,1.5,,5.212839126586914
Neural-ECF[argmax],0.9,1.5,5.0,1.6641080379486084
Neural-ECF[peaks],0.9,1.5,5.0,1.6641080379486084
MIDAST[KS],0.9,1.5,,5.386942148208618
Neural-ECF[argmax],0.9,1.5,10.0,1.6402480602264404
Neural-ECF[peaks],0.9,1.5,10.0,1.6402480602264404
MIDAST[KS],0.9,1.5,,5.287332773208618
Neural-ECF[argmax],0.9,1.5,25.0,1.652716875076294
Neural-ECF[peaks],0.9,1.5,25.0,1.652716875076294
MIDAST[KS],0.9,1.5,,5.214563846588135
Neural-ECF[argmax],0.9,1.5,20.0,1.6916491985321045
Neural-ECF[peaks],0.9,1.5,20.0,1.6916491985321045
MIDAST[KS],0.9,1.5,,5.367180109024048
Neural-ECF[argmax],0.9,1.5,5.0,1.6879050731658936
Neural-ECF[peaks],0.9,1.5,5.0,1.6879050731658936
MIDAST[KS],0.9,1.5,,5.363418102264404
Neural-ECF[argmax],0.9,1.5,0.0,1.681656837463379
Neural-ECF[peaks],0.9,1.5,0.0,1.681656837463379
MIDAST[KS],0.9,1.5,,5.314072132110596
Neural-ECF[argmax],0.9,1.5,5.0,1.634639024734497
Neural-ECF[peaks],0.9,1.5,5.0,1.634639024734497
MIDAST[KS],0.9,1.5,,5.326818943023682
Neural-ECF[argmax],0.9,1.5,30.0,1.6865808963775635
Neural-ECF[peaks],0.9,1.5,30.0,1.6865808963775635
MIDAST[KS],0.9,1.5,,5.2566118240356445
Neural-ECF[argmax],0.9,1.5,5.0,1.673341989517212
Neural-ECF[peaks],0.9,1.5,5.0,1.673341989517212
MIDAST[KS],0.9,1.5,,5.477668762207031
Neural-ECF[argmax],0.9,1.5,5.0,1.689817190170288
Neural-ECF[peaks],0.9,1.5,5.0,1.689817190170288
MIDAST[KS],0.9,1.5,,5.303404092788696
Neural-ECF[argmax],0.9,1.5,5.0,1.7389459609985352
Neural-ECF[peaks],0.9,1.5,5.0,1.7389459609985352
MIDAST[KS],0.9,1.5,,5.357471227645874
