Method,rho2,alpha2,MAE,time_s
Neural-ECF[argmax],-0.9,1.7,5,0.7169311046600342
Neural-ECF[peaks],-0.9,1.7,5,0.7169311046600342
MIDAST[KS],-0.9,1.7,10,0.4706606864929199
Neural-ECF[argmax],-0.9,1.7,5,0.6879408359527588
Neural-ECF[peaks],-0.9,1.7,5,0.6879408359527588
MIDAST[KS],-0.9,1.7,0,0.35568714141845703
Neural-ECF[argmax],-0.9,1.7,5,0.7772531509399414
Neural-ECF[peaks],-0.9,1.7,5,0.7772531509399414
MIDAST[KS],-0.9,1.7,380,0.33913183212280273
Neural-ECF[argmax],-0.9,1.7,5,0.7210230827331543
Neural-ECF[peaks],-0.9,1.7,5,0.7210230827331543
MIDAST[KS],-0.9,1.7,0,0.2980489730834961
Neural-ECF[argmax],-0.9,1.7,25,0.6992580890655518
Neural-ECF[peaks],-0.9,1.7,25,0.6992580890655518
MIDAST[KS],-0.9,1.7,180,0.4157090187072754
Neural-ECF[argmax],-0.9,1.7,5,0.7234690189361572
Neural-ECF[peaks],-0.9,1.7,5,0.7234690189361572
MIDAST[KS],-0.9,1.7,0,0.37357378005981445
Neural-ECF[argmax],-0.9,1.7,10,0.7221810817718506
Neural-ECF[peaks],-0.9,1.7,10,0.7221810817718506
MIDAST[KS],-0.9,1.7,0,0.36907410621643066
Neural-ECF[argmax],-0.9,1.7,5,0.7548360824584961
Neural-ECF[peaks],-0.9,1.7,5,0.7548360824584961
MIDAST[KS],-0.9,1.7,0,0.39856815338134766
Neural-ECF[argmax],-0.9,1.7,15,0.7045121192932129
Neural-ECF[peaks],-0.9,1.7,15,0.7045121192932129
MIDAST[KS],-0.9,1.7,10,0.40593791007995605
Neural-ECF[argmax],-0.9,1.7,5,0.8162438869476318
Neural-ECF[peaks],-0.9,1.7,5,0.8162438869476318
MIDAST[KS],-0.9,1.7,0,0.39611101150512695
Neural-ECF[argmax],-0.9,1.7,5,0.7725980281829834
Neural-ECF[peaks],-0.9,1.7,5,0.7725980281829834
MIDAST[KS],-0.9,1.7,0,0.37709879875183105
Neural-ECF[argmax],-0.9,1.7,5,0.7125990390777588
Neural-ECF[peaks],-0.9,1.7,5,0.7125990390777588
MIDAST[KS],-0.9,1.7,0,0.40105509757995605
Neural-ECF[argmax],-0.9,1.7,5,0.7826929092407227
Neural-ECF[peaks],-0.9,1.7,5,0.7826929092407227
MIDAST[KS],-0.9,1.7,0,0.4418601989746094
